"","X","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"609",48,"6FE2iI43OZnszFLuLtvvmg",0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.767,102.071,175427,4,"spotify:track:6FE2iI43OZnszFLuLtvvmg","https://api.spotify.com/v1/audio-analysis/6FE2iI43OZnszFLuLtvvmg"
"610",49,"0FDzzruyVECATHXKHFs9eJ",0.551,0.636,6,-7.125,1,0.0281,0.00713,0.00203,0.217,0.163,124.996,268467,4,"spotify:track:0FDzzruyVECATHXKHFs9eJ","https://api.spotify.com/v1/audio-analysis/0FDzzruyVECATHXKHFs9eJ"
"611",50,"1huvTbEYtgltjQRXzrNKGi",0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.859,95.049,219840,4,"spotify:track:1huvTbEYtgltjQRXzrNKGi","https://api.spotify.com/v1/audio-analysis/1huvTbEYtgltjQRXzrNKGi"
"612",51,"5maiP9UMnTSgoxPX8X3bdz",0.67,0.476,9,-6.253,0,0.0406,0.328,0,0.104,0.226,96.975,231907,4,"spotify:track:5maiP9UMnTSgoxPX8X3bdz","https://api.spotify.com/v1/audio-analysis/5maiP9UMnTSgoxPX8X3bdz"
"613",52,"0rFke7eNFHbGuGJUdRgjB2",0.859,0.5,9,-7.628,1,0.347,0.042,1.6e-05,0.0616,0.177,83.981,194561,4,"spotify:track:0rFke7eNFHbGuGJUdRgjB2","https://api.spotify.com/v1/audio-analysis/0rFke7eNFHbGuGJUdRgjB2"
"614",53,"14Rcq31SafFBHNEwXrtR2B",0.772,0.407,6,-7.442,0,0.0907,0.00349,2.4e-05,0.0705,0.287,100.006,227880,4,"spotify:track:14Rcq31SafFBHNEwXrtR2B","https://api.spotify.com/v1/audio-analysis/14Rcq31SafFBHNEwXrtR2B"
"615",54,"6K8qKeWo5MsFED7wCR6Kop",0.818,0.67,8,-4.451,0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,235382,4,"spotify:track:6K8qKeWo5MsFED7wCR6Kop","https://api.spotify.com/v1/audio-analysis/6K8qKeWo5MsFED7wCR6Kop"
"616",55,"4G8gkOterJn0Ywt6uhqbhp",0.478,0.799,9,-3.614,1,0.0638,0.126,0.000106,0.76,0.201,136.268,186813,4,"spotify:track:4G8gkOterJn0Ywt6uhqbhp","https://api.spotify.com/v1/audio-analysis/4G8gkOterJn0Ywt6uhqbhp"
"617",56,"4JSc7gbwGilypDRmdYl9Ty",0.661,0.5,10,-7.184,0,0.213,0.133,0,0.156,0.718,171.076,235573,4,"spotify:track:4JSc7gbwGilypDRmdYl9Ty","https://api.spotify.com/v1/audio-analysis/4JSc7gbwGilypDRmdYl9Ty"
"618",57,"13P5rwmk2EsoFRIz9UCeh9",0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.794,130.027,237627,4,"spotify:track:13P5rwmk2EsoFRIz9UCeh9","https://api.spotify.com/v1/audio-analysis/13P5rwmk2EsoFRIz9UCeh9"
